region,indicator,year,mean_ugm3,n_sites
Auckland,PM10,2016,13.809534981011021,6
Auckland,PM10,2017,12.931083892838513,7
Auckland,PM10,2018,13.860745449053029,7
Auckland,PM10,2019,14.496714795235034,7
Auckland,PM10,2020,12.46794098518474,7
Auckland,PM10,2021,12.78022891830369,7
Auckland,PM10,2022,13.07170956692499,7
Auckland,PM10,2023,13.458509636376409,7
Auckland,PM10,2024,13.54477893330293,6
Auckland,PM2.5,2016,5.7651556484675766,3
Auckland,PM2.5,2017,6.260394531973271,4
Auckland,PM2.5,2018,6.461364564462601,4
Auckland,PM2.5,2019,6.730290033378847,4
Auckland,PM2.5,2020,5.658538616907376,4
Auckland,PM2.5,2021,6.0656310727229314,4
Auckland,PM2.5,2022,6.179468140755408,4
Auckland,PM2.5,2023,6.404056123542299,4
Auckland,PM2.5,2024,6.726242267889042,3
Bay of Plenty,PM10,2016,12.643340034965036,2
Bay of Plenty,PM10,2017,13.209477858992885,3
Bay of Plenty,PM10,2018,16.617597941554035,10
Bay of Plenty,PM10,2019,17.41913186928609,10
Bay of Plenty,PM10,2020,15.381220334270642,10
Bay of Plenty,PM10,2021,15.273913217536915,10
Bay of Plenty,PM10,2022,15.220906632957803,10
Bay of Plenty,PM10,2023,14.367607511200125,9
Bay of Plenty,PM10,2024,14.182777739216323,10
Bay of Plenty,PM2.5,2016,9.127860759493672,1
Bay of Plenty,PM2.5,2017,11.342910863509749,1
Bay of Plenty,PM2.5,2018,8.786127425332461,2
Bay of Plenty,PM2.5,2019,8.753984834883507,2
Bay of Plenty,PM2.5,2020,7.363517495564981,3
Bay of Plenty,PM2.5,2021,7.167414009449517,3
Bay of Plenty,PM2.5,2022,7.251839727105995,3
Bay of Plenty,PM2.5,2023,6.307177272242956,4
Bay of Plenty,PM2.5,2024,6.471787219799438,5
Canterbury,PM10,2016,18.664686036942744,8
Canterbury,PM10,2017,18.216249940733444,8
Canterbury,PM10,2018,16.651873418549776,8
Canterbury,PM10,2019,18.073184894106813,9
Canterbury,PM10,2020,18.243831586768053,9
Canterbury,PM10,2021,15.989543297443175,9
Canterbury,PM10,2022,16.523399142425223,9
Canterbury,PM10,2023,16.48624421775456,9
Canterbury,PM10,2024,16.793592835639714,9
Canterbury,PM2.5,2016,9.526765209591321,8
Canterbury,PM2.5,2017,9.936559819149439,8
Canterbury,PM2.5,2018,8.730656343637799,8
Canterbury,PM2.5,2019,8.992535812863899,9
Canterbury,PM2.5,2020,8.731064581439483,9
Canterbury,PM2.5,2021,7.801052866379804,9
Canterbury,PM2.5,2022,8.39457467364577,9
Canterbury,PM2.5,2023,8.34479253035807,9
Canterbury,PM2.5,2024,8.804013344279518,9
Gisborne,PM10,2019,19.179205479452055,1
Gisborne,PM10,2020,21.4202429022082,1
Gisborne,PM10,2021,21.745541916167667,1
Gisborne,PM10,2022,21.40830410958904,1
Gisborne,PM10,2023,18.896269349845202,1
Gisborne,PM10,2024,19.311209631728044,1
Gisborne,PM2.5,2019,8.829666666666666,1
Gisborne,PM2.5,2020,11.350566037735849,1
Gisborne,PM2.5,2021,10.638335329341318,1
Gisborne,PM2.5,2022,9.851605479452056,1
Gisborne,PM2.5,2023,8.628524844720497,1
Gisborne,PM2.5,2024,9.313279329608939,1
Hawke's Bay,PM10,2016,16.11133434804668,3
Hawke's Bay,PM10,2017,15.17235636667195,3
Hawke's Bay,PM10,2018,15.53103548313632,3
Hawke's Bay,PM10,2019,14.573843105934245,3
Hawke's Bay,PM10,2020,15.664021942925311,3
Hawke's Bay,PM10,2021,14.840975319300712,3
Hawke's Bay,PM10,2022,15.33283530564737,3
Hawke's Bay,PM10,2023,16.615654066870196,3
Hawke's Bay,PM10,2024,16.02270513986195,3
Hawke's Bay,PM2.5,2016,7.504954796584631,2
Hawke's Bay,PM2.5,2017,7.948525492840172,2
Hawke's Bay,PM2.5,2018,7.329126333123009,2
Hawke's Bay,PM2.5,2019,7.445027811694479,3
Hawke's Bay,PM2.5,2020,7.4268217342896365,3
Hawke's Bay,PM2.5,2021,7.5335877558084015,3
Hawke's Bay,PM2.5,2022,7.136939308778122,3
Hawke's Bay,PM2.5,2023,4.849143737119823,3
Hawke's Bay,PM2.5,2024,7.454528824059616,3
Manawatū-Whanganui,PM10,2016,11.41237534332085,2
Manawatū-Whanganui,PM10,2017,13.777339418805994,2
Manawatū-Whanganui,PM10,2018,14.038219247809929,2
Manawatū-Whanganui,PM10,2019,13.95868696969697,2
Manawatū-Whanganui,PM10,2020,11.980383738411426,2
Manawatū-Whanganui,PM10,2021,9.79074695801337,3
Manawatū-Whanganui,PM10,2022,10.990580760726283,2
Manawatū-Whanganui,PM10,2023,9.779132158335262,2
Manawatū-Whanganui,PM10,2024,10.35130699036918,2
Manawatū-Whanganui,PM2.5,2021,6.712989795918367,1
Manawatū-Whanganui,PM2.5,2022,5.9063025695988145,2
Manawatū-Whanganui,PM2.5,2023,4.893559504631494,2
Manawatū-Whanganui,PM2.5,2024,7.659352396123973,2
Marlborough,PM10,2016,18.757298850574713,1
Marlborough,PM10,2017,20.377423822714682,1
Marlborough,PM10,2018,19.228066298342544,1
Marlborough,PM10,2019,17.815939226519337,1
Marlborough,PM10,2020,17.933095890410957,1
Marlborough,PM10,2021,19.43401098901099,1
Marlborough,PM10,2022,15.288443804034582,1
Marlborough,PM10,2023,14.039890109890111,1
Marlborough,PM10,2024,13.113545706371191,1
Marlborough,PM2.5,2016,4.786666666666666,1
Marlborough,PM2.5,2017,14.309506849315069,1
Marlborough,PM2.5,2018,13.217671232876711,1
Marlborough,PM2.5,2019,11.535555555555556,1
Marlborough,PM2.5,2020,11.854180327868853,1
Marlborough,PM2.5,2021,11.416062499999999,1
Marlborough,PM2.5,2022,8.275303867403315,1
Marlborough,PM2.5,2023,11.486108374384235,1
Marlborough,PM2.5,2024,9.648839779005526,1
Nelson,PM10,2016,14.941596382954403,4
Nelson,PM10,2017,15.047508477075041,4
Nelson,PM10,2018,14.994585638459979,4
Nelson,PM10,2019,13.973506944072401,4
Nelson,PM10,2020,12.102235878774056,4
Nelson,PM10,2021,12.540150352809656,4
Nelson,PM10,2022,11.570818654835481,4
Nelson,PM10,2023,9.736771767400041,4
Nelson,PM10,2024,11.368707281645161,4
Nelson,PM2.5,2016,9.682882882882883,1
Nelson,PM2.5,2017,9.511627906976743,1
Nelson,PM2.5,2018,11.30334448160535,1
Nelson,PM2.5,2019,10.333240997229918,1
Nelson,PM2.5,2020,9.546302250803858,1
Nelson,PM2.5,2021,8.710982658959537,1
Nelson,PM2.5,2022,8.253239436619719,1
Nelson,PM2.5,2023,8.915428571428572,1
Nelson,PM2.5,2024,9.15155807365439,1
Northland,PM10,2016,13.22029682575137,2
Northland,PM10,2017,12.272881122472802,2
Northland,PM10,2018,13.078695905547566,2
Northland,PM10,2019,13.37681344323195,2
Northland,PM10,2020,12.667937271372441,2
Northland,PM10,2021,12.154680458430459,2
Northland,PM10,2022,12.454839775317112,2
Northland,PM10,2023,11.452552364118429,2
Northland,PM10,2024,12.529334379905809,4
Northland,PM2.5,2016,6.346363636363637,1
Northland,PM2.5,2017,6.079002849002849,1
Northland,PM2.5,2018,6.377660167130919,1
Northland,PM2.5,2019,6.6801152737752165,1
Northland,PM2.5,2020,7.645863095238096,1
Northland,PM2.5,2021,5.2802762430939225,1
Northland,PM2.5,2022,5.297307692307692,1
Northland,PM2.5,2023,5.13133704735376,1
Northland,PM2.5,2024,5.190722222222222,1
Otago,PM10,2016,25.827287492722615,6
Otago,PM10,2017,24.940670285014324,7
Otago,PM10,2018,20.213272171393584,7
Otago,PM10,2019,18.018269370809445,7
Otago,PM10,2020,19.364932422299166,7
Otago,PM10,2021,16.14844785151854,6
Otago,PM10,2022,17.08309043891647,4
Otago,PM10,2023,15.49358926502083,4
Otago,PM10,2024,14.122909322959556,4
Southland,PM10,2016,22.75602973306735,2
Southland,PM10,2017,22.8009002629823,2
Southland,PM10,2018,23.24547252747253,2
Southland,PM10,2019,21.07399515235457,2
Southland,PM10,2020,21.79676534683855,2
Southland,PM10,2021,19.430017991456957,2
Southland,PM10,2022,20.8395747716895,2
Southland,PM10,2023,19.369836649575266,2
Southland,PM10,2024,19.072495897937678,2
Southland,PM2.5,2019,5.292033898305085,1
Southland,PM2.5,2020,5.511830985915493,1
Southland,PM2.5,2021,5.47258358662614,1
Southland,PM2.5,2022,5.414785478547855,1
Southland,PM2.5,2023,10.30399193548387,1
Southland,PM2.5,2024,5.654133333333333,1
Taranaki,PM2.5,2016,4.1897734627831715,1
Taranaki,PM2.5,2017,3.662493150684931,1
Taranaki,PM2.5,2018,3.8123055555555556,1
Taranaki,PM2.5,2019,4.286657534246576,1
Taranaki,PM2.5,2020,3.435813253012048,1
Taranaki,PM2.5,2021,3.736987951807229,1
Taranaki,PM2.5,2022,2.6889940828402366,1
Taranaki,PM2.5,2023,2.8699175824175827,1
Taranaki,PM2.5,2024,3.094426229508197,1
Tasman,PM10,2016,18.6991643454039,1
Tasman,PM10,2017,16.70028011204482,1
Tasman,PM10,2018,18.79501385041551,1
Tasman,PM10,2019,17.639204545454547,1
Tasman,PM10,2020,15.137362637362637,1
Tasman,PM10,2021,16.564245810055866,1
Tasman,PM10,2022,14.197771587743732,1
Tasman,PM10,2023,14.488826815642458,1
Tasman,PM10,2024,15.457142857142857,1
Tasman,PM2.5,2016,11.972661870503597,1
Tasman,PM2.5,2017,15.325174825174825,1
Tasman,PM2.5,2019,9.828491620111732,1
Tasman,PM2.5,2020,9.715833333333332,1
Tasman,PM2.5,2021,9.522714681440442,1
Tasman,PM2.5,2022,8.633240223463687,1
Tasman,PM2.5,2023,8.1963687150838,1
Tasman,PM2.5,2024,8.62169014084507,1
Waikato,PM10,2016,12.380262502371096,7
Waikato,PM10,2017,11.93388521812812,7
Waikato,PM10,2018,11.014608897525418,7
Waikato,PM10,2019,13.700567966130077,8
Waikato,PM10,2020,12.761146916026966,8
Waikato,PM10,2021,13.854533659096788,8
Waikato,PM10,2022,13.13642814438813,8
Waikato,PM10,2023,13.588673145461708,8
Waikato,PM10,2024,14.799467701517994,8
Waikato,PM2.5,2016,13.425824603658537,1
Waikato,PM2.5,2017,10.000963508591065,2
Waikato,PM2.5,2018,8.620408547619048,2
Waikato,PM2.5,2019,8.215555359331747,3
Waikato,PM2.5,2020,8.684573680933497,3
Waikato,PM2.5,2021,10.037852709750895,4
Waikato,PM2.5,2022,8.755723433799512,4
Waikato,PM2.5,2023,7.8816983179027345,6
Waikato,PM2.5,2024,8.270195705292924,6
Wellington,PM10,2016,11.535838298618952,5
Wellington,PM10,2017,11.753447147381914,5
Wellington,PM10,2018,11.834962064349792,5
Wellington,PM10,2019,12.707769316729737,5
Wellington,PM10,2020,11.819102352554761,5
Wellington,PM10,2021,11.260059543172291,5
Wellington,PM10,2022,10.865881913077736,5
Wellington,PM10,2023,11.220457678047193,5
Wellington,PM10,2024,11.671366872394008,5
Wellington,PM2.5,2016,6.908250664488018,3
Wellington,PM2.5,2017,7.472054474570676,3
Wellington,PM2.5,2018,7.274170983072026,3
Wellington,PM2.5,2019,7.882079481879067,3
Wellington,PM2.5,2020,7.41651554178145,3
Wellington,PM2.5,2021,7.081920021981619,3
Wellington,PM2.5,2022,6.312690434272301,3
Wellington,PM2.5,2023,6.633807727920228,3
Wellington,PM2.5,2024,6.662201659488342,3
West Coast,PM10,2016,14.819370078740157,1
West Coast,PM10,2019,7.270965517241379,1
West Coast,PM10,2020,10.184255952380951,1
West Coast,PM10,2021,8.522507288629736,1
West Coast,PM10,2022,7.825195195195195,1
West Coast,PM10,2023,9.026027397260274,1
West Coast,PM10,2024,11.709293833906766,2
West Coast,PM2.5,2019,4.384206896551724,1
West Coast,PM2.5,2020,7.061038575667657,1
West Coast,PM2.5,2021,5.692740524781341,1
West Coast,PM2.5,2022,4.873663663663664,1
West Coast,PM2.5,2023,6.108027397260273,1
West Coast,PM2.5,2024,5.718060109289618,1
